apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
disque de bois qui coiffe le poteau central (remplace au- jourd'hui la corbeille de gau- lettes) ;;noon~guc ;noon-ci lek ;noon~guc ;noon-guc
1 désignait autrefois les dépendances 3 cdté de ;la case du chef, of les hommes de son entourage faisaient la cuisine 
entrait, traverse ;;gan-guc ;bwan-guc ;bwan-guc ;bwan-guc 
sabliére, base de te ;la charpen- wa-pwahlop (2) waahlop (0) du toit ;pagarhek ;phwa-bwanic ;phwa-bwanic ;phwa-bwaning 
solives du toit ;ceen-nga ;ceen-nga ;ceen-nga ;ceen-nga ;ceen-nga 
gaulettes circulaires horizon- tales sur lesquelles on fixe les peaux de niaoulis ;dalip (7) wapic (0) ;wavic ;dalip ;dalip ;dalip 
mettre les gaulettes ;dalivi (2) ;wivi nga ;dalii ;dalii ;dalii 
gaulettes verticales entre les solives sur lesquelles on fixe les peaux de niaoulis ;ceen-dalip (7) ;daween ceek ;ceen-dalip ;ceen-dalip ;ceen-dalip 
poutre fairiére des cases o- blongues ;duun-gan-nga (Tf) ;duun-gan-nga ;duun-bwan-nga ;duun-bwan-nga ;maagoop 
murs, parois des maisons ;jie-nga (T) ;jie-nga ;jiye-nga ;jiye-nga ;jJie-nga 
coin de maison ;jiluu-n (7) ;khadi ;thiknudi ;thingudi/ knudi ;thixudi/ thiudi 
tapisserie en peaux de niaou- lis ;tapwii-n (PT) ;tewii-n ;tepwii-n/ tepwiye-nga ;tepwii-n/ tepwiye-nga ;saapwie-n 
tapisser des parois avec des palmes de cocotiers ;;;thibi 
lattes en bois circulaires 4 l'extérieur pour maintenir la tapisserie de chaume ou de niaouli ;hyabac (Tf) ;hyabec ;hyabek ;hyabek ;hyabek 
toit ;gan-nga ;gan-nga ;bwan-nga ;bwan-nga ;bwan-nga 
chaume ;toot yaat (T) (0) ;yaat ;yaat ;yaat ;mai 
couvrir de chaume ;yali nga ;yali nga ;yali nga ;yati nga ;yali nga 
aléne pour toiture ;jiido ;jiido ;jiido ;jiido ;jiido 
coudre la paille du toit ;hmeki (7) ;hiva yaat ;hmeki ;hmexi ;hwangi mai (Y) 
tebord du toit de chaume, pre- mier rang de paille ;doon-nga ;doon-nga ;doon-nga ;dooric ;dooric 
avant-dernier rang de paille ;;;;hwaxorap ;peoyabwe (Y) 
dernier rang de paille ;hmek pauye (7) ;hmek panua ;;hmek panua ;hmek panua 
bourrelet de paille au fat- tage ;mween-nga (7) ;fidu ;phidu ;phidu/ thoon-nga ;phidu/ thoon-nga (Y) 
faitage sculpté (= "houp") ;hup ;hup ;hup ;hup ;huve-nga 
conques enfilées sur faitage ;duuve-daahlook ;duuve-daahlook ;duuve-daah look ;duuve-daalook ;juuve-jaanook
lit (= étagére, plate-forme) ;padang (T) ;padang ;phac ;padang (Tendo) pac (Coulna) ;padang (Y) pac (W) 
appuie-téte, oreiller ;gan-haiin (2) taap/ kan-ceek ;gan-hitn taap/ kan-ceek/ kaa-hwi-aman ;pacada taap/ kan~ceek/ kave-hwi-aman ;bweac taap/ kan-ceek/ kave-hwi-aman (Tendo) kave-huu (Couina) ;bweac taap/ hman-huu 
chaise, banc ;kae-tago ;kaa-tago vala ;kave-tago vala (= palissade) ;kave-tago vala ;hman-tago vala
berceau pour bébé ;vala (2) 
épieu de culture ;walak (2) wala (0) ;walek ;walek ;walek ;walek 
plantoir A taros ;wabui wabu (7) (0) ;wabui ;wabui ;wabui 
pelle ;wasato (7) sato (0) ;wasaro ;ba-hyeli guc ;wasaro ;hyera 
plantes cultivées, boutures ;poka ;poxa ;poka ;poxa ;poxa 
ses boutures (qu'on lui a données) ;kaa-n ;kaa-n ;kaa-n ;kaa-n ;kaa-n 
faire des cultures ;po-poka ;po-poxa ;pmwa poka/ tahwai ;po-poxa ;po-poxa 
champ, plantation (en général) ;kae~-po-poka/ kae-tami-aman ;kae-po-poxa/ kae-tami-aman ;kave-pmwa-poka/ kave-tami-aman ;kave-po-poxa/ kave-tami-aman ;hman-po-poxa 
terre inculte ;guc ka-hyen (Tf) ;guc ka~hyen ;guc ka-hyen ;guc ka-hyen 
endroit cultivé- (préfixe) massif de fleurs jardin ;dan- (1) dan-muue (7) dan-poka (7) ;dan- ;dan- dan-buke dan-poka ;dan- dan-muuc/ hwa-muuc dan-poxa 
coin de forét débroussé pour cultures (écobuage) ;thimwek ;thimwek ;thimwek ;thimwek ;san 
jachére ;pin-aman ;pin-aman ;pin-aman ;pin-aman ;hmaap 
limite, sa limite ;pe-hye, hyee-n ;pe-the, thee-n ;pe-the, thee-n ;pe-the, thee-n ;pe-se, see-n 
débrousser ;thagi (7) ;thagi ;thagi ;thagi ;thabwi 
préparer le champ d'ignames, débrousser ;hyanya ;hyanya ;hyanya ;hyanya ;hyanya 
labourer ;hum (2) ;hum ;hwade ;hum 
motte de terre ;wa-vhiye-guc ;wa-vhiye-guc ;fiye-guc ;fiye-guc ;phiye-guc tei 
planter (tubercule) ;tami ;tami ;tami ;tami 
recouvrir de terre, enterrer ;taakhi ;taahi ;taakni ;taangi ;cami
débrousser (avec sabre) ;thuyaak ;thuyaak ;thuyaak ;thuyaak ;thuaak 
sarcler ;;;tebwic,s tebwiyi ;tebwic, tebwiyi ;tebwic. tebwiyi 
sarcler dans le champ d'igna- mes ;;bwadaak, bwadai ;;bwadai (Tendo) 
arracher, désherber 4 ;la main tawi ;tawi ;tawi ;gudi ;gudi 
bananeraie, champ de bananiers ;dan-saahmua (7) ;dan-saahmua ;ne-saahmua ;hwa-saamua ;hwa--saamua 
champ d'ignames ;hwada ;hwada ;hwada ;hwada ;hia 
massif d'ignames en croissant sur flanc de montagne ;hwai ;hwai ;hwai ;hwai ;hwai (W) 
champ plat d'ignames ;kae-tahwa/ kae~taabit ;;;kave-tawa ;tao (W) 
champ d'ignames cultivé plu~ sieurs années de suite ;bwa-fo (7) ;bwa-fo ;;bwa-pho 
fossé protecteur du champ d'ignames ;hwathak ;hwaarek ;hwaathek ;hwaarek ;hwaayek 
butte d'igname ;bwahmu (7) ;bwahmu ;bwahmo ;bwamo ;bwamo 
petit piquet marquant 1'em- placement de l'igname 4 planter ;ce-keli (7) ;;;ce-tawa 
grand tuteur 4 ignames ;havit ;havit ;havit/ theethap ;havit ~ hait ;duk 
petite rame rejoignant le tuteur ;dipuk (7) dipu (0) ;huuda ;dipuk ;divuk/ huuda ;huuda (Y) divuk/ huuda (W) 
attacher la tige d'igname ;hnai (7) ;;hnei ;hnei ;theyuu s 
séche (tige d'igname bonne a récolter) ;ho (2) ;ho ;ho ;ho ;ho 
case dans les plantations ;nga le kae~tami-aman ;;;nga kave-thuvamoo ;nga hman-thuamoo (¥W) 
bouquet magique accroché au tuteur (protection des cultures) ;mween-havit (7) ;;;hwa-maye-hait/ mween-hait ;hwa-vaye-duk 
marques d'‘interdits, bouquets accrochés 4 un piquet pour mon- trer qu'une plante est réservée ;ségu (T) ;jelep ;jelep ;jelep ;jelep
plantes enfouies dans le champ (protection des cultures) ;daabila (T) ;daabila 
tarodiére irriguée ;gala ;gala ;gala ;gala ;gala 
massif de culture humide, plantation de taros prés des riviéres ;haku ;haxu ;haku ;haxu ;haxu 
champ de taros en montagne (non aménagé) ;hyaaguc (7) ;hyaaguc ;hyaaguc ;hyaaguc ;hyaaguc (W) 
tarodiére de montagne (en terrasse) ;;;metaam ;- meraam ;meyaam 
talus 4 l'arriére de rodiére ;la ta- ba-than-guc (7) ;haven-gala ;hapen-gala ;haven-gala ;haven-gala 
souténement de tarodiére ;dee-gala (0) ;deye-gala ;din-gala ;din-gala ;din-gala 
mur de souténement ;ba ;ba ;ba ;ba ;ba 
conduite d'eau ;s@danin-we (T) padi-we (0) ;sédanin~we ;ceen-we ;cnedanin-~we ;hwaranin-we/ dane (Y) 
prise d'eau ;pue-we ;pae-pue-we ;paye~puke-we ;pay e-puxe-we ;paye-pue-o (Y) 
fossé d' écoulement ;hulan-we (2) ;hure-we ;hure-we ;hure-we ;hure-we 
écoulement pavé entre deux terrasses de cultures ;;vhaeen-gala ;;hwan-fae o gala ;phae o gala (W) 
ouvrir les vannes ;tala we (T) ;tala we ;tala we ;tala we ;cala we 
creuser, récolter (igname, magnania) ;hyavi ;hyavi ;hyavi ;hyai ;hyai 
récolter des ignames ;;hya-kuuk ;hya-kuuk ;hya-kuuk 
faire un trou (avec barre & mine) ;po-hwan ;po~hwan ;ku-hwan ;kuan ;po-hwan (Y) kuan (W) 
arracher, récolter (taro) ;puth? (2) ;purh? ;putni ;puni ;puri 
cueillir des brédes, des jeunes pousses ;cepi/ cepi do ;cevi/ ce-do ;cepi/ ce~-do ;cevi/ ce-do ;wii do 
cueillir des fruits ;tabwe ;pwede ;tabwe ;pwede ;hnii 
cueillir (plutét des feuilles) ;thagoi (0) ;;;;thagoi 
cueillir, récolter de ne a sucre ;la can- po-khany ;po-khiiny ;pmwa knuny ;thoo/ tho-xuny ;thoo/ tho-xuny 
gaule 4 fruits, baton 4 cro- chet ;;wo-hLibo ;;ba-ula ;ba-ula
séchoir 4 ignames, claie ;padangan kuuk (7) ;padangen kuuk ;phac o kuuk ;padangen kuuk (Tendo) ;padangen kuic (Y) 
mettre des régimes de bananes 4 mirir ;hyaac (T) ;hyaac ;hyaac ;hyaac ;hyaac 
nécrose du champ due 3 des champignons phosphorescents ;yadala (T) ;yadala ;yadala ;yadala ;yadala (Y) 
maladie des ignames et des patates ;siim (f) ;siim ;siim ;thuuc ;thuuc (Y) 
maladie des taros ;cuk (2) ;cuk ;cuk ;cuk 
crever sur pied (canne 4 sucre) ;thika (T) ;thixa ;thika ;thixa ;maboyim (Y)
Sagaie, sa sagaie ;da, daa-n ;da, daa-n ;da, daa-n ;da. daa-n ;da. daa-n 
doigtier de la sagaie ;hani wan-da (7) ;hani ;hdé ;haé ;hdé wén-da 
sparterie de la sagaie ;;wan-da ;wan-da ;wan-da 
manche de la sagaie ;uvan-da (2) ;uven-da ;uven-da ;uven-da ;ngen-da 
pointe de la sagaie ;mae-da ;mae-da ;maye-da ;maye-da ;maye-da 
fronde, sa fronde, fusil, son fusil ;wedat, wedata-n ;wedat. wedale-n ;wedat, wedale-n ;wedat, wedale-n ;wedate wedale-n 
pierre de fronde ;pae-wedat ;pae-wedat ;paye-wedat ;paye-wedat ;paye-wedat 
plumet de fronde ;thi le-wedat keen-paik (7) ;thire-wedat ;thire-wedat ;thire-wedat ;thire-wedat 
giberne pour pierresde fronde ;;keen-paik ;keen-paik ;keen-paik ;keen-paik 
casse~téte, son casse-téte ;bwate bwali-n ;bwats bwali-n ;bwatr bwali-n ;bwat, bwali-n ;bwat, bwali-n 
casse-téte bec d'oiseau ;gahlia maa-n (7) ;bwat hoore-maa-n ;bwat hoore-maa-n ;bwat hoore-maan ;bwa-hoore-mae-n 
casse-téte 4 bout rond (boule) ;;bwat pwen-dogan ;bwat pwen ;bwat pwen-dogan ;bwat pwen-dogan 
casse-téte A gros bout rond ;;bwat mero ;bwat meto ;bwat mero ;bwat mero 
casse-téte 4 bout rond et plat (disque) ;bwat kalapa ;bwat kalava ;bwat kalapa ;bwat kalava ;bwat kalava 
casse-téte 4 piquants ;bwat doalage ;bwat waabulu ;bwat waabulu ;bwat waabulu ;bwat waabulu 
casse-téte durci au feu ;hyan-cini ;hyan-cini ;hyan-cini ;hyan-cini ;hyan-cini 
casse-téte champignon ;;thawec ;thepwac ;thawec 
sorte de casse-téte ;the-pwadi ;the-wadi ;the-pwadi ;the-wadi 
fléche, sa fl&@che ;jiket, jikela-n ;jixet, jixele-n ;jiket, jikele-n ;jixet. jixele-n ;jiget 
arc ;ngan-jiket ;ngen-jixet ;ngen-jiket ;ngen-jixet ;ngen-jiget 
corde de l'arc ;wan-ngan~jiket (7) wo-ngan-jiket (0) ;wan-ngen-jixet ;wan-ngen-jiket ;wan-ngen-jixet ;wén~-ngen-jiget 
pointe de la £léche ;mae-jiket ;mae-jixet ;maye-jiket ;maye-jixet ;maye-jiget 
barbelure de la fléche ;thibeen ;sira/ thibeen sira ;thibeen ;thibeen ;thibeen 
barbelures sur sagaies (pour chasser les oiseaux ) ;;;hure-hwan-ditik ;kaili ;siraan (Y) kaili (W)
chasse, chasser (au fusil) ;vapr vavi ;vap, vai ;vaps vavi ;vap, vai ;vap, vai 
qui a de che ou 4 ;la pé- ka-uhya (7) la chance (4 la chasse) ;ka-uhya ;hmathaac ;ka-uya ;ka-diang (Y) ka-ua (W) 
viser quelque chose ;cina (na ko-n) (2) ;cina (na o-n) ;cina (na ko-n) ;cina (na xo-n) ;cina (na xe-n) 
lacet, collet ;je ;je ;je ;je ;je 
lacet 4 terre ;je le guc (f) ;je le guc ;Je le guc ;je le guc ;je le guc 
lacet dans les arbres ;je le dawec (TP) ;je le poa ;;je le poa ;je le poa 
lacet pour petits oiseaux ;hnii-je ;hnii-je ;hnii-je ;hnii-je ;hnii-je 
poser des lacets ;na je ;na je ;;na je ;tha~je 
piége 4 détente, tapette ;;;je-hyaget ;;je-hibit 
se prendre au collet ;titoot (7) ;tigic ;tigic ;tigic 
noeud coulant ;hwan-je (7) ;;hwan-je ;hwanooxi ;hwadoox j 
tirer sur un noeud coulant ;;;;telii ;thi-uriri (y) telii (W) 
baton 4 glu pour les cigales ;hyaa-thigic ;caan-thigic ;thigic ;hyaaligic ;hyaaligic 
guerre ;paac ;paac ;paac ;paac ;paac 
chef de guerre ;kaapue-paac ;kaavue-paac ;kaapue~paac ;kaavue-paac ;kaavue-paac 
troupe de guerre ;kan-paac (T) ceen~paac (0) ;;;kan-paac ;kan-paac (W) 
troupe de gens, groupe, équipe ;bat (7) ;bat ;bat ;bat ;bat 
ennemi ;hwaaduup (7) ;hwaadap ;hwaadak/ hwaaduup ;hwaadak/ hwaduup ;hwaadang (Y) hwaadang/ hwaajuup (Ww) 
noeud de guerre (pour con- voquer les alliés) ;hmwatang ;hmwarang ;hmwatang ;hmwarang ;hmwar ang 
lutter, boxer ;pekaac (T) ;pexaac/pe-pexaac ;pekaac ;pexaac/ pe-pexaac ;pexaac/ pe-pexaac 
attaquer ;;mwa ji ;;mwaji ;mwaji 
bloquer dans une embuscade ;tu-mwaji (7) ;tu-mwaji ;tu-mwe ji ;tu-mwa ji ;cu-mwaji 
cerner ;;;ta-mueji ;ta-mwaji ;ta-mwaji 
barrer ;;;;the-mwaji ;the-mwaji
faire le guét ;tu-hoa (T) ;tu-hoa ;tu~hoa ;tu-hoa 
lancer (sagaie) ;tei ;tei ;tei ;tei ;tei 
toucher (avec sagaie) ;tei tuut (2) ;tei tuut ;tei tuut ;tei tuut ;tei cuut alala cuut daa-ng ! 
"touché!", quand la sagaie est au but cri de victoire ;alala tuut daa-ng!/ alala hmatac! (7) ;alala tuut daa-ng ! ;alala tuut daa-ng ! ;alala tuut daa-ng ! 
rater ;tei tai (T) ;tei tai ;tei tai ;tei tai ;tei tap/ tei khénuxi (Y) tei tap/ tei knenuxi (W) 
lancer (casse-téte, pierres) ;thai ;thai ;thai ;thai ;thai 
abattre, coucher par terre ;theleei ;theleei ;theleei ;theleei ;thebooi 
piquer (avec sagaie) ;;thanim ;thanim ;thanim ;sanim 
parer un coup (en levant le casse-téte) ;buli (bwat) ;buli (bwat) ;buli (owat) ;buli (bwat) ;buli (bwat) 
éviter un projectile ;pile ;pile ;pile ;pile ;pilee 
pousser, repousser ;;;hibooi ;hibooi ;hibooi 
chasser quelqu'un ;hibee-(sang) (7) ;hibaa- ;;hibaa- ;hibaai 
poursuivre, courir aprés ;tholavir thola- (sang) (T) ;tholavi ;tneen tai-n ;tnooni/ havai ;havai 
assaillir, sauter sur ;;;;imwaang 
se sauver, détaler ;talap ;talep ;talep ;talep ;calep 
se sauver en emportant quel- que chose ;ta-vhe ;ta-vhe ;ta-fe ;ta-e ;ca-e 
fuir, éviter quelqu'un ;tapei/ tape-(sang) ;tavi ;tapi ;tavi 
Sa trace de pas ;kae-ho-n ;kae-ho-n ;kave-ho-n ;kave-ho-n ;hman-he-n 
fugitif, réfugié ;gu ;gu ;gu ;gu ;mwau 
détruire ;haea ;haea ;haya ;haea (Tendo) hyajan (Coulna) ;hyajan 
démolir ;buui/ the-buui (2) ;buui/ the-buui ;buui/ the-buui ;buui/ the-buui ;buui/ the-buui 
faire la razzia, emporter tout (droit coutumier des ma- ternels aprés un deuil) ;jado ;jado ;jado ;jado ;thano 
arréter les hostilités ;po-hnam (0) ;hnem paac ;tnem paac ;hnem paac ;hnyem paac 
faire la paix ;pe-koha/ pe-po-bwati/ pe-daakhi-aman (7) ;pe-kohya/ pe-thida/ pe-daahi-aman ;pe-koha/ pe-daakni ;pe-koa/ pe-daangi 
demander pardon ;haakhi (2) ;thia ;thia ;thia ;thia
aller 4 la péche ;po-tau ;porau/ po-yuap/ po-wiec ;pmwa hyan-tau/ thaalep ;porau ;porau/ hyalap 
= 2 4 pécher 4 marée basse sur platier ;le ;moo Oo maac ;moo O maac ;tau 
pécher 4 la ligne ;yawo (T) ;tha-pwe ;tha-yavo ;tha-pwe ;tha-pwe 
ligne de péche ;yawo pwe (T) (0) ;pwe ;yawo ;pwe ;pwe 
fil de la ligne ;wan-yawo (T) wan-pwe (0) ;wan-pwe ;wan~-yavo ;wan-pwe ;wén-pwe 
hamegon ;mae~yawo (T) mae-pwe (0) ;mae-pwe ;maye-yavo ;maye-pwe ;mMaye-pwe 
encoche du hamegon ;thibeen ;thibeen ;thibeen ;thibeen ;thibeen 
amorces de péche ;hnya ;hnya ;hnya ;hnya ;hnya 
amorces végétales pour pécher le mulet ;gaga (T) ;gaga ;gaga 
ferrer (poisson), tirer d'un coup sec ;thece (T) ;theye ;thece ;theye ;theye 
trident de p@éche, ;son trident de, dee-n ;de, dee-n ;de, dee-n ;de. dee-n ;de, dee-n 
pécher 4 la sagaie ;keli nuk ;keli nuk ;kneli nuk ;kneli nuk ;khéli nuk (Y) kneli nuk (W) 
fléche pour pécher .les crevettes ;jiket ;jixet ;jiket ;jixet ;jiget 
pécher au filet ;thai pwiec ;tha-pwiec ;tha-pwiec ;tha-pwiec ;tha-pwiec 
filet ;pwiec ;pwiec ;pwiec ;pwiec ;pwiec 
flotteurs du filet ;thiwaan-pwiec ;thiwaan-pwiec ;thiwaan-pwiec ;thiwaan-pwiec ;thiwaan-pwiec 
plombs du filet ;pae-pwiec ;pae-pwiec ;paye-pwiec ;paye-pwiec ;paye-pwiec 
faire du filet (= nouer) ;pigi (2) ;pigi ;pigi ;pigi ;thingei 
navette pour filet ;di ;di ;di ;di 
maille du filet ;hwan-mae-pwiec (7) ;hwan-maa-n ;hwan-majen ;hwan-pwiec (yY) 
noeud du filet ;gupai-n (Tf) ;guvai-n ;;guvac (Y) 
épervier (filet jeté) ;pwi-thai ;pwi-thai ;pwi-thai ;pwi-thai ;pwi-thai 
senne (filet étalé) ;pwi-tali ;pwi-tali/ pwi-hno ;pwi-tali ;pwi-tali ;pwi-sai
filet 4 sardines ;pwi-bac ;pwi-bac ;;pwi-bac ;pwi-bac 
filet 4 tortues ;pwi-pwen ;pwi-pwen ;;pwi-pwen ;pwi-pwen 
encercler un banc de poissens ;hno (2) ;hno ;hno ;hno ;hnyo pinyai pwiec 
refermer le filet ;pehlii pwiec (T) ;pehlii pwiec ;pehLlii pwiec ;pelii pwiec 
long Filet pour attraper les lochons d'eau douce ;;;;daac 
nasse pour anguilles ;;thaap ;;kelooxen daac 
filet en poche pour anguilles ;;;;;bwi yuut ~ thook, thooxi 
pécher 4 1'épuisette ;;thook, thoi ;thook, thoi ;thook, thoi 
épuisette ;kehlook (7) ;kehlook ;kehlook ;kelook ;kelook 
bouche de 1l'épuisette ;;jabut ;jabut ;jabut ;jabut 
piége 4 crevettes (avec li- gne et noeud coulant) ;;;wahnak ;wenak ;weenak 
Masse en mer ;;palep ;;;keen-nuk (2) 
pécher 4 trous la main dans les ;vatak (T) ;;palep ;palep ;palep 
5 . pécher 4 gaie ou fusil sous-marin) la plonge, (avec sa- ;wani nuk (7) ;wani nuk ;wani nuk ;wani nuk ;wani nuk 
péther au poison ;civa we (T) ;civa we ;civa we ;civa we ~ cia we ;cio 
ramasser les poissons in- toxiqués ;thanep (T) ;;thanen ;thanep ;sanep 
pécher 4 la torche ;hyaik (7) ;hyaik ;hyaik/ hyaiki nuk ;hyaik/ hyaixi nuk ;hyaik/ hyaixi nuk thee (Y) 
barrer l'eau d'une riviére ;the-we (T) ;the-we ;the-we ;the-we 
faire un barrage (avec cail~ loux, pierres, branches) ;;;;theang ;the-vang (W) 
barrage de riviére ;;;;fang ;phang 
barrage en mer avec cailloux ;;ban-we 
barrage de riviére (avec tronc de bananier) pour le mulet ;thaap (T) ;;kauli ;kauli ;kauli (W) 
assécher, mettre 4 sec ;;yalu ;yalu ;yalu ;yalu 
vider l'eau ;yati we (T) ;yali we ;yali we ;yali we 
écope pour vider 1'eaudes trous ;;;hopweyat ;howeat ;howeat (1) 
enfiler (poissons, perles) ;tuuvi (7) ;tuuvi ;tuuvi ;tuuvi ;juuvi (Y) 
collier, brochettede poissons ;duup. duuve-nuk (7) ;duup, duuve-nuk ;duup. duuve-nuk ;duups duuve-nuk ;juup, juuve-nuk
bateau ;wang ;wang ;wang ;wang ;wang 
construire un bateau ;jili wang (7) ;jili wang ;jili wang ;jili wang ;jili wang 
pirogue 4 balancier ;;bwaaxala ;bwaakala ;bwaaxala ;bwaaxala 
ancienne pirogue pontée ;karapa (0) ;karavaak ;;karavaa ;karavaa 
avant du bateau, proue ;mae-wang (T) ;mae-wang ;maye-wang ;maye-wang ;maye-wang 
arriére du bateau, poupe ;gule-wang (T) ;gure-wang ;gure-wang ;gure-wang ;gure-wang 
mat (= poteau central) ;séduut ;séduut ;cneduut ;cneduut ;céjuut (Y) 
voile, sa voile ;hnep, hneu-n ;hnep, hneu-n ;hnep, hneun ;hnep. hneu-n ;hneps hneu-n 
foc ;;;;;jip (¥Y) 
quille du bateau ;;piin-keen-wang ;piin-keen-wang ;piin-keen-wang ;piin-keen-wang 
agrés, gréements ;piphan-wang (7) ;pivhén-wang ;pipmen-wang ;pimen-wang ;piven-wang 
son balancier ;hyeka-n ;hyexe-n/ dabe-n ;hyeke-n/ dabe-n ;hyexe-n/ dabe-n ;hyexe-n/ dabe-n/ hayaec (Y) 
attaches reliant le balan~ cier a la coque ;pwalam (7) ;pwalam ;;pwalam ;pwalam 
trou dans la coque pour les attaches du balancier ;;hwan~su 
fourches pour relier le ba- lancier aux attaches ;;ce~kaxo 
ramer ;haat. haali wang be-haat ;haat, haali wang ;haat, haali wang ;haat. haali wang ;haat. haali wang 
rame ;;ba-haat ;ba-haat ;ba~haat ;ba-haat 
godiller ;kewa, kewai (7) ;kewa, kewai ;kewa, kewai ;kewa,s kewai ;kewa, kewai 
gouvernail ;hon-wang ;hon-wang ;hon-wang ;hon-wang ;hen-wang 
pousser le bateau du fond ;thii wang ;thii wang ;thii wang ;thii wang ;thii wang 
gaffe, perche ;be-thii wang ;puuc/ ba-thii wang ;ja ;puuc/ ba-thii wang ;puuc/ ba-thii wang 
ancrer ;nyu ;nyu ;nyu ;nyu ;nyu 
mouillage du bateau ;nyuun-wang ;nyuun-wang ;nyuun~-wang ;nyuun-wang ;nyuun-wang 
louvoyer ;siki (PT) ;sixi ;;sixi ;sixi
écoper, Scope ;thoop/ be-thoop ;thoop/ ba-thoop ;thoop/ ba-thoop ;thoop/ ba-thoop ;thoop/ ba-thoop 
aborder, accoster ;cada ;cada ;cada ;cada ;cada 
s'échouer sur le sable ;;vhaaxei ;;faxei 
s'échouer sur le récif ;;theei o maac ;thii o maac ;thii o maac ;thii xe maac 
se retourner, chavirer ;;thagubwan ;thagubwan ;thagubwar. ;sagubwan 
sombrer, couler ;tilip (7) tipulip (0) ;tiulip ;tipulip ;tivulip 
se noyer ;tilip (7) ;tihle-Cyek) ;tileng ;tilip ;tileng (¥) tilip (Ww) 
flotter ;hyauhLaap ;hyauhlLaap ;hyauhlaap ;hyaulaap/ thaungeen ;thaungeen ngee-n (qqchose) ngee-ek (qq'un) 
emporter 4 (courant) la dérive ;te-vhe (T) ;te-vhe ;te-fe ;te-ve (Tendo) te-e (Coulna) 
se baigner ;wan (T) ;wan ;wan ;wan ;wan 
nager sous l'eau ;nem (T) ;nem ;;nem ;nem 
nager téte hors de l'eau ;hyoom ;hyoom ;hyoom ;hyoom ;hyoom 
plonger (téte la premiére) ;teep (T) ;;;po-teep ;teep (Y) po-teep (W) 
plonger, aller au fond de l'eau ;thiwan le we ;thiwan le we ;tigutnam ;tigunam ;tiguyam 
bois flotteur (utilisé comme bouée) ;vhae (Tf) ;vhae ;‘wacing ;fae ;phac
feu, son feu ;yaak, yaau-n ;yaak, yaau-n ;yaak, yaau-n ;yaak, yaau-n ;yaak, yaa-n 
foyer ;kae-vhai yaak ;kaa-vhai yaak ;kave-fai yaak ;kave~fai yaak ;hman-phai yaak 
bois transversaux délimi- tant le foyer ;hyeen-yaak (7) ;;theenaak 
allumer du feu ;vhai yaak ;vhai yaak ;fai yaak ;fai yaak ;phai yaak 
allumettes ;ngan~yaak (T) ;ngen-yaak ;ngen~-yaak ;ngen-yaak ;ngen-yaak 
faire du feu par friction ;yale yaak ;yale yaak (1) ;yale yaak ;yale yaak ;yalee 
bois dur pour faire le feu par frottement ;johnep (7) johnek (0) ;johnek ;johnek ;jonek ;jonek 
incendier, mettre le feu ;thii yaak (2) ;thii yaak ;thii yaak ;thii yaak 
allumer des feux de brousse ;yapato (Tf) ;yavaro ;thin ;thin 
s'allumer, flamber ;hyan (2) ;telo ;telo ;telo ;ulo telo (¥) (W) 
sa flamme ;delooma-n (I) ;s6dme-n ;deloome-n ;deloome-n ;doloome-n 
faire des &tincelles, crépiter ;tiny ;tiny ;tin ;tiny ;tiny 
son étincelle ;;kaaule-n ;kaaule-n ;kaaule-n ;kaaule-n 
braises ;dekapa ;dexava ;dekapa ;dexava ;devaxa 
tison ardent ;jin-yaak/ jin-ceek 7 bare~yaak (0) ;jin-yaak/ jin-ceek ;jin-yaak/ jin-ceek ;jin-yaak/ jin-ceek ;jin-yaak/ jin-ceek 
fumée, sa fumée ;hmue hmuu-n ;hmu, hmuu-n ;hmu, hmuu-n ;hmu, hmuu-n ;hmu, hmuu-n 
vernis noir produit par la fumée, dans les cases ;vhapaak ;vhavaak ;fapaak ;favaak ;phavaak 
noir de marmite, suie ;huup (2) ;huup ;huup ;huup ;huup 
cendres ;dap ;dap ;dap ;dap ;dap 
étaler la cendre ;weli dap (7) ;weli dap ;weli dap ;weli dap ;weli dap 
teint (feu) ;go (f) ;go ;go ;go 
éteindre le feu ;thipagoon yaak (7) ;thivagoon yaak ;thiigoon yaak ;thiigoon yaak ;thiigoon yaak 
bicher oi l'on range le bois ;dago (2) ;dago ;thiuc ;thiuc ;thiuc 
fagot de bois ;vhan-ceek (7) ;vhan-ceek ;fan-ceek ;fan-ceek ;phan-ceek 
bois de cuisine ;ceen-ci lak ;ceen~cilek ;ceen-ci lek ;ceen-cilek ;ceen-guc
grosse bfiche pour se chauffer la nuit ;ce-gen ;ce-gen ;ce-gen ;ce-gen ;ce-bwen 
la torche, pécher éclairer 4 a la torche ;hyaik ;hyaik ;hyatk ;hyaik ;hyatk 
torche ;gale-hyaik (2) ;gare-hyaik ;gare-hyaik ;gare-hyaik ;gare-hyaik 
lampe électrique ;yaa-wali (7) ;yaa-nyamwii ;yaak hweli ;yaa-nyamwii ;yaa-nyamwi 
allumer, éclairer ;;nuup ;nuup ;nuup 
allumer une lampe ;pa-malai (7) ;pa-matai ;;pa-malai 
se chauffer au feu ;hmadauk (7) ;hmadauk ;hnaguk ;hnaguk ;hnyabic 
